"country","gdp","mortality"
"Afghanistan",2022,76.1
"Albania",10703,14.4
"Algeria",12782,25.6
"Angola",8615,91.2
"Argentina",19000,12.1
"Armenia",9260,14.7
"Australia",43887,4
"Austria",44894,3.7
"Azerbaijan",16025,33.2
"Bahrain",38535,7.8
"Bangladesh",2901,38.6
"Barbados",9972,13
"Belarus",20037,4.2
"Belgium",39182,4.1
"Benin",2092,102.8
"Bolivia",5784,39.6
"Bosnia and Herzegovina",9986,6.1
"Botswana",14900,44.6
"Brazil",14825,16.4
"Bulgaria",16556,8.8
"Burkina Faso",1513,92.8
"Burundi",779,77.9
"Cambodia",2981,33.7
"Cameroon",2672,87.5
"Canada",42833,5.2
"Cape Verde",6353,23
"Central African Republic",589,133.6
"Chad",2282,134.5
"Chile",21090,8.5
"China",11708,11.5
"Colombia",12619,16.3
"Comoros",1658,78.3
"Congo",4561,56.5
"Costa Rica",13117,9.4
"Cote d'Ivoire",3250,98.3
"Croatia",20466,4.9
"Cuba",7628,5.7
"Cyprus",25331,2.9
"Czech Republic",29148,3.1
"Democratic Republic of Congo",802,101
"Denmark",44542,4.2
"Djibouti",3127,68.2
"Dominica",9729,31.4
"Dominican Republic",12657,32.2
"Ecuador",11046,22.2
"Egypt",11092,24.7
"El Salvador",7988,16.1
"Equatorial Guinea",39603,97.1
"Estonia",25424,3.3
"Ethiopia",1481,64.4
"Finland",37943,2.5
"France",38134,4
"Gabon",14053,53
"Gambia",1901,69.9
"Georgia",9903,12.3
"Germany",46038,3.9
"Ghana",3627,63.4
"Greece",24437,3.9
"Guatemala",6900,30.5
"Guinea",1646,95.2
"Guinea-Bissau",1277,94.9
"Haiti",1655,71
"Honduras",4272,20.1
"Hong Kong",45785,2.407
"Hungary",22766,5.5
"Iceland",39383,2.3
"India",5312,47.7
"Indonesia",9720,28.3
"Iran",15261,16.3
"Iraq",12889,33.2
"Ireland",51772,3.8
"Israel",31454,3.9
"Italy",34371,3.6
"Jamaica",7096,16.3
"Japan",35550,2.8
"Jordan",11741,18.7
"Kazakhstan",23398,14
"Kenya",2984,53.5
"Kuwait",69228,9.1
"Kyrgyzstan",5773,23.5
"Laos",5667,68.5
"Latvia",21944,5.5
"Lebanon",13117,8.7
"Lesotho",2881,98.3
"Liberia",816,73
"Libya",9736,13.9
"Lithuania",24604,4.9
"Luxembourg",66750,2.5
"Macedonia",13110,11.5
"Madagascar",1282,50.5
"Malawi",964,63.3
"Malaysia",21339,8.1
"Mali",1514,118.3
"Malta",25001,6.9
"Mauritania",3357,86.7
"Mauritius",17756,14.7
"Mexico",15531,15.4
"Moldova",5534,16.4
"Mongolia",11035,19.8
"Montenegro",16903,4.6
"Morocco",7324,29
"Mozambique",1227,79.9
"Myanmar",5493,54.8
"Namibia",11484,48.4
"Nepal",2571,38
"Netherlands",47747,4
"New Zealand",33091,5.7
"Nicaragua",4524,21
"Niger",893,99.2
"Nigeria",5531,111.6
"North Korea",1749,22.4
"Norway",75846,2.8
"Oman",37748,11
"Pakistan",4876,83.3
"Palestine",4365,20.6
"Panama",19937,17.4
"Paraguay",8210,21.2
"Peru",10961,16.6
"Philippines",6592,28.8
"Poland",24356,5
"Portugal",26717,3.6
"Puerto Rico",34787,6.885
"Qatar",138683,8.6
"Romania",19693,9.5
"Russia",23798,8.3
"Rwanda",1599,43.4
"Saint Lucia",10529,14
"Sao Tome and Principe",3489,36.8
"Saudi Arabia",46824,13.8
"Senegal",2354,52.3
"Serbia",13387,6.6
"Seychelles",22640,14.6
"Sierra Leone",1326,124.9
"Singapore",67105,2.7
"Slovakia",24964,6.2
"Slovenia",27462,2.5
"South Africa",12050,44.5
"South Korea",34538,3.6
"Spain",32300,3.4
"Sri Lanka",10313,9.9
"Sudan",3626,69
"Swaziland",7685,74.1
"Sweden",42202,2.9
"Switzerland",61661,4.2
"Syria",4069,20.091
"Tajikistan",3226,46
"Tanzania",2335,60.9
"Thailand",13587,13
"Togo",1443,80.4
"Trinidad and Tobago",31032,19.8
"Tunisia",10588,14.6
"Turkey",20222,14.5
"Turkmenistan",20203,54.5
"Uganda",1853,60.1
"Ukraine",10331,9.8
"United Arab Emirates",67250,7.9
"United Kingdom",38220,4.5
"United States",51664,6.8
"Uruguay",19582,9.5
"Uzbekistan",8511,27.6
"Venezuela",17568,16.8
"Vietnam",5427,22.3
"Yemen",3558,55.3
"Zambia",3537,69.6
"Zimbabwe",1797,64.3
